id,name,host_id,room_type_id,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22972357,1,158456362,1,50,1,3,2018-04-02,0.19,1,0
3816499,2,23633,1,75,2,2,2015-11-01,0.04,2,0
3816424,3,23633,1,75,1,0,,,2,0
32285425,86,207182952,2,650,1,1,2019-03-27,0.29,1,365
1032611, Private 1 bdrm Lefferts Gr BK apt,5682003,2,125,2,38,2019-06-10,0.61,1,3
11305912,_Special Offers: Guest Assistance,344035,1,250,1,25,2019-05-01,0.63,13,0
7851219,- A - Cozy Secure Private Room  in a Shared Loft,31304940,1,60,2,121,2019-06-18,2.55,8,69
7870258,- C - Cozy Secure Private Room in a Shared Loft,31304940,1,60,2,99,2019-06-15,2.1,8,77
7886635,- E - Cozy Secure Private Room in a Shared Loft,31304940,1,60,2,97,2019-06-18,2.13,8,122
7901635,- F - Cozy Secure Private Room in a Shared Loft,31304940,1,60,2,99,2019-06-23,2.1,8,100
7873655,- G - Cozy Secure Private Room in a Shared Loft,31304940,1,60,2,107,2019-06-21,2.26,8,84
7854307,- H - Cozy Secure Private Room in a Shared Loft,31304940,1,60,2,97,2019-06-15,2.07,8,83
7858673,- I - Cozy Secure Private Room in a Shared Loft,31304940,1,60,2,92,2019-06-08,1.94,8,87
8192443,- J - Cozy Secure Private Room in a Shared Loft,31304940,1,60,2,106,2019-06-23,2.29,8,104
16333607,--Into The Heart Of Greenpoint--,32946808,2,170,3,37,2019-05-27,1.18,1,258
8213227,-CENTRAL PARK - 3 stops by subway(32'' TV room),43298076,1,42,2,34,2019-05-01,0.73,4,101
9698992,-CLEAN ROOM - New Apartment - Manhattan,43298076,1,62,2,24,2019-06-14,0.55,4,97
9251088,-Deluxe Furnished 1 Bedroom Apartment in Midtown,30283594,2,239,30,0,,,121,363
13426681,-Luxury NYC 1 Bedroom nearby Theater District!,30283594,2,235,30,1,2017-08-02,0.04,121,365
8341556,-MANHATTAN - Upper West BIG ROOM w/tv,43298076,1,55,2,84,2019-05-26,1.82,4,72
12089889,-Modern Living in the Heart of NYC - 1 BR apt.,30283594,2,239,30,0,,,121,165
9572219,-TIMES SQUARE - 19 MinutesBIG ROOM,43298076,1,44,2,12,2019-05-13,0.28,4,45
1815211,:: Spacious 1bedroom great loca ::,1572271,2,185,1,80,2018-01-02,1.16,1,0
18176762,:Luxury 1BR by the water one stop from Manhattan,117840007,2,150,3,5,2017-10-23,0.19,1,0
16834485,! ! ! Coliving: live work create,2092314,3,22,30,0,,,7,365
9112676,!! CLASSIC LUXURY & CHARM !! By Central Park UWS,1202621,2,250,7,34,2019-06-30,0.78,1,147
16851973,!!! Beautiful private room with backyard.,2092314,1,32,30,1,2017-07-30,0.04,7,124
16852728,!!! Outpost Coliving . Shared twin room,2092314,3,26,30,2,2018-04-30,0.09,7,365
16822398,!!!Co-Housing taken to the Next Level /Flatbush/2,2092314,3,20,30,1,2018-08-10,0.09,7,365
16805050,!!!Living&Working. Beautiful Coliving on Flatbush,2092314,3,28,30,3,2018-06-20,0.13,7,365
16835493,!!!Outpost Coliving . Flatbush. Cozy shared room,2092314,3,28,30,0,,,7,365
6376345,!!BEAUTIFUL APARTMENT WITH GARDEN!!,33232851,2,40,3,2,2016-02-01,0.05,1,0
26310218,!!Cozy 3-person shared room near  L train!!,178543960,3,36,30,0,,,10,311
35640594,!!Renovated shared room in great neighborhood!!,268122129,3,35,30,0,,,5,341
3979360,!!Studio next to Empire State Bldg.,20624434,2,240,3,7,2015-04-07,0.13,1,0
28315707,!AMAZING PRIVATE ROOM 2 MIN FROM TRAIN STATION!,213795822,1,45,1,30,2019-07-05,3.63,2,327
26268189,!Captivating Private Room,154258141,1,60,2,8,2019-06-15,0.74,10,356
28317113,!PERFECT PRIVATE ROOM PLACE 2MIN FROM THE SUBWAY!,213795822,1,47,2,30,2019-07-07,3.63,2,303
9116752,!Spacious & Modern Brooklyn Loft!,8862886,2,150,2,40,2018-09-03,0.9,1,0
19943741,¡AMAZING PENTHOUSE IN SOHO (Nolita-1BR)!,2292332,2,350,5,5,2019-05-25,0.21,1,54
21501507,.,156216145,2,215,2,0,,,1,0
3835757,...New lower rates for low season!!,3339701,1,50,1,207,2019-06-21,3.48,4,311
17107385,...Su Casa,16995499,2,75,2,0,,,1,0
22971913,.Melinda's Place,170265686,2,69,3,85,2019-06-18,5,1,193
15473730,.ROOM NearTrain JFK5minLGA15min. Breakfast2Peop,71176935,1,33,1,20,2019-02-15,0.77,1,86
5232121,.Safe cozy & minutes to NYC,3339701,1,55,1,90,2019-06-21,1.72,4,310
19212370,‘ SMALL STUDIO ONLY FOR 2’,11601610,2,148,4,60,2019-06-22,2.42,1,320
31490659,‘’AROUND THE CORNER’’  QUEENS NY,12394498,2,90,3,9,2019-07-05,6.75,1,121
30662063,‘Age of Innocence’ | Studio Apartment,225122879,2,100,3,26,2019-06-24,3.79,1,219
34980223,"""ADORABLE CENTRAL 1BD LITTLE ITALY/SOHO""",76192815,2,129,33,0,,,5,333
8423666,"""Bloom of Floral Park"" 1 BR Basement Suite",44361695,1,65,2,39,2019-05-29,0.85,1,222
17558336,"""Borough Border Liner"" Diverse/Convenient/Private",119173203,1,47,1,17,2018-05-13,0.97,1,0
33075317,"""Bushwick in Manhattan"" Interactive Private Room",247446830,1,73,2,14,2019-07-02,3.72,2,35
29575293,"""Cabin"" —Private Queen Bedroom in Jungly Apartment",41704832,1,85,1,29,2019-07-05,5.65,1,82
4681219,"""Central Park"" View Prvt RoomMnh  ",24208781,1,70,2,68,2019-05-19,1.31,1,129
18688150,"""Chill"" Private 1BR Close to ACBD23",24906403,1,60,2,51,2019-07-05,2.26,1,170
32890591,"""Color Me Time Sq."" Interactive Room in Manhattan",247446830,1,64,2,15,2019-07-07,3.78,2,48
24993686,"""Cozy Retreat"" in North Crown Heights",188947623,2,112,2,50,2019-07-05,3.93,1,0
34945914,"""Dave's Island Suite""",258232863,2,68,2,8,2019-06-30,5.33,1,4
4069681,"""DECO CASA""  2 Bedroom Greenpoint Brooklyn",20741012,2,75,2,102,2019-06-30,4.27,1,30
